kemendagri_code,bps_code,kemantren,jss_users,wifi_count,population_density,self_funding
347101,347110,Tegalrejo,10455,77,12661,2591762000
347102,347109,Jetis,7732,59,15702,1277190556
347103,347106,Gondokusuman,13156,109,10841,2765833000
347104,347107,Danurejan,6679,63,19027,1969600000
347105,347108,Gedongtengen,5369,46,19429,1346890000
347106,347111,Ngampilan,5403,41,21327,780670000
347107,347112,Wirobrajan,8496,77,15968,1037215000
347108,347101,Mantrijeron,10923,114,13246,2063860549
347109,347102,Kraton,7349,87,15509,1433886600
347110,347114,Gondomanan,4595,58,12774,1049185000
347111,347113,Pakualaman,3461,42,16381,974015000
347112,347103,Mergangsan,9870,110,13799,2081965000
347113,347104,Umbulharjo,22629,126,8672,3852141395
347114,347105,Kotagede,11126,59,11932,3319283100
